සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
343,[6] පරුමක-උති-පුත චුඩි-නගශ ලෙණ‌ෙ,ප්‍රමුඛ උත්තියගේ පුත් වන චූඩි-නාගගේ ලෙණ‌.
344,[7] චිතගුතශ ච බරණිය ච ලෙණ‌ෙ,චිත්තගුත්තගේ සහ භරණිගේ ලෙණ‌.
345,[8] ගපති-දමශෙන-පුත ශුමන-මලශ ච ගපති-මඣිමතිශ-පුත දිගතිශශ ච ලෙණ‌ෙ,ගෘහපති ධම්මසේනගේ පුත් වන සුමනමල්ලගේ සහ ගෘහපති මජ්ඣිම-තිස්සගේ පුත් වන දීඝතිස්සගේ ලෙණ‌.
346,[9] ගහපති-වෙශලි-පුත මහශුමනශ,ගෘහපති වෙසාලිගේ පුත් වන මහාසුමනගේ.
347,[10] රමශ ලෙණ‌ෙ,රාමගේ ලෙණ‌.
348,[11] පරුමක ශිගිණික-තිශහ ලෙණ‌ෙ,ප්‍රමුඛ සිහිණික-තිස්සගේ ලෙණ‌.
349,[12] බරත-උතර-කශබහ-පටි-පචය,ප්‍රධානි උත්තර-කස්සප වෙත ප්‍රයෝජනය සඳහා.
350,[13] තබකර-තිශ-පුත රොණිගුතශ ලෙණ‌ෙ,තඹකරු තිස්සගේ පුත් වන රොහිණිගුත්තගේ ලෙණ‌.
351,[14] තබකර-[පු]ශශ ච ශුමනශ ච ලෙණ‌ෙ,තඹකරු ඵුස්සගේ සහ සුමනගේ ලෙණ‌.
352,මගශ ලෙණ‌ෙ,මාඝගේ ලෙණ‌.
353,[16] පරුමක-නුගුය-වෙලු-පුතන ශිගර-මලුශ ච නුගුය-මලුශ ච ලෙණ‌ෙ,ප්‍රමුඛ නුගුය-වෙලුගේ පුතුන් වන සිගර-මලුගේ සහ නුගුය-මලුගේ ලෙණ‌.
354,[17] ගපති-පුශ-පුතශ තිශහ ලෙණ‌ෙ,ගෘහපති ඵුස්සගේ පුත් වන තිස්සගේ ලෙණ‌.
355,[18] පරුමක-අශ-අදෙක-වෙලුශ ඣය තිශය ලෙණ‌ෙ,අශ්ව අධ්‍යක්ෂක ප්‍රමුඛ වෙලුගේ භාර්යාව වන තිස්සාගේ ලෙණ‌.
356,[19] දමෙඩ-වණිඣ ග[ප]ති-විශකහ ලිණ‌ෙ,"ද්‍රවිඩ වෙළඳ, ගෘහපති විශාකගේ ලෙණ‌."
357,[20] දමෙඩ-වණිඣ ගපති-විශකහ සෙණි-කමෙ,"ද්‍රවිඩ වෙළඳ,ගෘහපති විශාක විසින් කරන ලද පියගැටපෙළ."
358,[21] (1) පරුමක-මඣිමහ පුතශ පරුමක-ශිදතහ(2) පරුමක-චුඩශිදහ පරුමකශ-තිශහ (3) ශදය ලෙණ‌ෙ නියතෙ (4) ශගශ,"ප්‍රමුඛ මජ්ඣිමගේ පුත් වන ප්‍රමුඛ සිද්ධත්ත, ප්‍රමුඛ චූළ සිද්ධ, ප්‍රමුඛ තිස්සගේ සාමූහික ලෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී."
359,[22] බරත-ශුමනහ ලෙණ‌ෙ ශගශ නියතෙ,ප්‍රධානි සුමනගේ ලෙණ‌ සංඝයාට ප්‍රධානය කරන ලදී.
360,[23] පරුමක-තිශ-පුත-චදනහ ලෙණ‌ෙ අගත-අනගත-චතු[දී]ශික-ශගශ,ප්‍රමුඛ තිස්සගේ පුත් වන චන්දනගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
361,[24] බරත-අශලිය ලෙණ‌ෙ ශගශ නියතෙ,ප්‍රධානි අශලිගේ ලෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී.
362,[25] බත-ශුමනහ ලෙණ‌ෙ චදු-දිශ-ශගශ,ප්‍රධානි සුමනගේ ලෙණ‌ සතරදෙස සංඝයාට [දෙන ලදී].
363,[26] දමරකිත-තෙරශ ලෙණ‌ෙ චතු-දිශ-ශගශ නියතෙ,ධම්මරක්ඛිත තෙරුණ්ගේ ලෙණ‌ සතරදෙස සංඝයාට පරිත්‍යාග කරන ලදී.
364,[27] දමරකිත-තෙරහ ලෙණ‌ෙ ශගශ,ධම්මරක්ඛිත තෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
365,[28] බත-ශුමනශ ලෙණ‌ෙ ශගශ දිනෙ,ප්‍රධානි සුමනගේ ලෙණ‌ සංඝයාට දෙන ලදී.
366,[29] උපශක-නගහ ලෙණ‌ෙ ශගශ දිනෙ,උපාසක නාගගේ ලෙණ‌ සංඝයාට දෙන ලදී.
367,[30] (1) බත-දමගුතහ අශ-තිශගුතහ අශ-දමරකිතහ ලෙණ‌ෙ(2) ශගශ අගත-අනගත-චතු-දිශ-ශගශ,"ප්‍රධානි ධම්මගුත්තගේ, ආයුෂ්මන්ත තිස්සගුත්ත සහ අයුෂ්මන්ත ධම්මරක්ඛිතගේ ලෙණ‌ සංඝයාට [දෙන ලදී], පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට."
368,"[31] බරත-මහතිශහ ලෙණ‌ෙ ශගශ නියතෙ (සංකේත අංක16a, 12, 1සහ11a)",ප්‍රධානි මහතිස්සගේ ලෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී.
369,[32] මතුල-බගිනියන ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ නියතෙ ශෙ,මයිලනුවන්ගේ සහ බෑනාවරුන්ගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට පරිත්‍යාග කරන ලදී.
370,[33] ගපති-තොපශ-ශුමන-කුලශ ලෙණ‌ෙ ශගශ දිනෙ අගත-අනගත-චතු-දිශ-ශගශ පශුවිශරයෙ,"ගෘහපති, ලෝකුරුකරු සුමන පවුලේ ලෙණ‌ සංඝයාට දෙන ලදී; පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාගේ සැපපහසුව උදෙසා."
371,[34] බරත-මහතිශහ ලෙණ‌ෙ චතු-දිශ-ශගශ නියතෙ,ප්‍රධානි මහාතිස්සගේ ලෙණ‌ සතරදෙස සංඝයාට පරිත්‍යාග කරන ලදී.
372,[35] බත-බුදරකිතශ අශ-චුඩතිශශ අශ-ශුමන[ශ ච ලෙණ‌ෙ] ශගශ,"ප්‍රධානි බුද්ධරක්ඛිතගේ, අයුෂ්මන්ත චූල තිස්ස සහ අයුෂ්මන්ත සුමනගේ ලෙණ‌ සංඝයාට [දෙන ලදී]."
373,[1] මහ-ශමුද-පුත-ගුතශ ලෙණ‌ෙ ශගශ පරුමක-බමදත-පුතහ මහගුත[හ] ලෙණ‌ෙ,මහා-සමුද්ධගේ පුත් වන ගුත්තගේ ලෙණ‌ සංඝයාට [දෙන ලදී]. ප්‍රමුඛ බ්‍රහ්මදත්තගේ පුත් වන මහාගුත්තගේ ලෙණ‌.
374,[2] බත-චුඩි-තිශහ ලෙණ‌ෙ,ප්‍රධානි චූල තිස්සගේ ලෙණ‌.
375,[3] පරුමක-පුශමිත-පුත[හ] මහලෙණ‌ෙ අගත-අනගත-චදු-[දිශ]-ශගශ,ප්‍රමුඛ ඵුස්සමිත්තගේ පුත්‍රයාගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
376,(1) ශමණ-චුඩ-කශබ(හ)(2) ගපති-නඩ-පුත-[රො]හ[ක]ශ(3) ගපති-කද-තිස-පුතලහ තිශහ ශදය ලෙණ‌ෙ,"චූලකස්සප සාමණේරයන්ගේ, ගෘහපති නඩගේ පුත් වන රොහකගේ, ගෘහපති ඛණ්ඩ තිස්සගේ පුත් වන තිස්සගේ ලෙණ‌ සාමූහික පරිත්‍යාගයකි."
377,පරුමක උති ඣිත...........ලිය ලෙණ‌ෙ,ප්‍රමුඛ උත්තියගේ දියණිය වන .............ලිගේ ලෙණ‌.
378,[1] ............රඣ-පුත දරකයහ පුත උතිය ලෙණ‌ෙ ශගශ,............ රජුගේ පුත් වන දරක කුමරුගේ පුත් වන උත්තියගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
379,[2] අබගමිය නචදක-අඩි ශග[ශ],අම්බගාමහි නචදක ඇළ සංඝයාට[දෙන ලදී].
380,පෙළ සහ අර්ථය අංක 2 හා සමාන වෙයි.,
381,උපශක-දෙවහ ලෙණ‌ෙ,උපාසක දෙවගේ ලෙණ‌.
382,බත-පලහ ලෙණ‌ෙ,ප්‍රධානි පාලගේ ලෙණ‌.
383,[1] ගපතුල දඩ පුශගුත උපශක-තිශහ ලෙණ‌ෙ ශගශ (දිනෙ),"ගපතුල දඩගේ, ඵුස්සගුත්තගේ සහ උපාසක තිස්සගේ ලෙණ‌ සංඝයාට දෙන ලදී."
384,[2] උපශක-අශොකශ ලෙණ‌ෙ,උපාසක අසෝකගේ ලෙණ‌.
385,[1] චොරිකිය මහතිශහ මඣිමහ බරිය දෙවිය ලෙණ‌ෙ,චොරිකහි මහාතිස්සගේ [සහ] මජ්ඣිමගේ භාර්යාව වන දේවිගේ ලෙණ‌.
386,[2] (1) උපශික-ශවිනිය (2) පාරු[ම]ක-තිශහ ඣය දෙවිය ලෙණ‌ෙ ශගශ (3) තිශය,"උපාසිකා සවිනීගේ, ප්‍රමුඛ තිස්සගේ භාර්යාව වන  දෙවිගේ ලෙණ‌ සංඝයාට [දෙන ලදී]. [සහ] තිස්සාගේ."
387,[3] පුශහ බත-නගශ මහචිතශ,"ඵුස්සගේ, ප්‍රධානි නාගගේ, මහාචිත්තගේ"
388,බත-තිශශ ලෙණ‌ෙ අගත-අනගත-චතු-දුශ-ශගශ දිනෙ,ප්‍රධානි තිස්සගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයා උදෙසා පරිත්‍යාග කරන ලදී.
389,[1] උපරඣ-නග-පුතෙ රඣ-අබයෙ නම තශ පුතෙ ගමණි-තිශෙ නම තෙන කරිතේ ශුදශනෙ ශගශ,උපරාජ නාගගේ පුත් අබය රජු [නාමය] වෙයි. ඔහුගේ පුත් ගාමණි තිස්ස නම් වෙයි. ඔහු විසින් කරන ලද ශුදස්සන [නම් ලෙන] සංඝයාට [දෙන ලදී].
390,[2] බත-පුශබුතිය ලෙණ‌ෙ ශගශ,ප්‍රධානිප්‍රධානි ඵුස්සභූතිගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
391,[3] මනොරමෙ ලෙණ‌ෙ බත-ගුතෙන කරිතෙ ශගශ,ප්‍රධානි ගුත්ත විසින් කරවන ලද මනොරම නම් ලෙණ‌ සංඝයාට [දෙන ලදී].
392,[4] බත-දෙවගුතහ බතිකහ ගපති-ශමණහ ලෙණ‌ෙ,ප්‍රධානි දෙවගුත්තගේ සහෝදරයා වන ගෘහපති සමණගේ ලෙණ‌.
393,[5] ...........ණ..........ත.........පරුමක-පුත ........ ලෙණ‌ෙ ශගශ,.............ප්‍රමුඛගේ පුත් වන ............ සංඝයාට [දෙන ලදී].
394,[6] (1) චහනිලය-වශික අශ-තිශහ ලෙණ‌ෙ (2) ශගශ,චහනිලයහි වාසය කරන අයුෂ්මන්ත තිස්සගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
395,[7] බත-ශුදිනශ ලෙණ‌ෙ ශගශ,ප්‍රධානි සුදින්නගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
396,[1] අබයහ-පුතශ රඣියශි කටෙ පරුමක-ශද(නශ ලෙණ‌ෙ),අභය කුමරුගේ පුතුගේ රාජ්‍ය කාලය තුළ කරවන ලද ප්‍රමුඛ සද(න) (ගේ ලෙණ‌).
397,[2] පරුමක-ශදනශ ඣය උපශික-ශුමනය ලෙණ‌ෙ,ප්‍රමුඛ සදනගේ භාර්යාව වන උපාසිකා සුමනාගේ ලෙණ‌.
398,[3] බත-පුණශ ලෙණ‌ෙ ශගයෙ දිනෙ,ප්‍රධානි පුණ්ණගේ ලෙණ‌ සංඝයාට දෙන ලදී.
399,[1] බත-රකිය ලෙණ‌ෙ,ප්‍රධානි රකිගේ ලෙණ‌.
400,[2] උපශක-චුඩහ ලෙණ‌ෙ ශගශ,උපාසක චූළගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
401,[3] ශගශ උපශක-චුඩහ අශිය ශිවහ ශදි ශදය,උපාසක චූළගේ සහ අයුෂ්මන්ත සිවගේ සාමුහික ලෙණ‌ [සංඝයාට දෙන ලදී].
402,[4] (1) බත-ශිවහ උපශක-චුඩහ ශදි ශදයෙ ලෙණ‌ෙ (2) ශගශ,ප්‍රධානි සිවගේ උපාසක චූළගේ සාමූහික ලෙණ‌ සංඝයාට [දෙන ලදී].
403,පරුමක-වෙ[ල]හ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ වෙ[ල]ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
404,[2] දෙවනපිය-මහරඣහ ගාමිණි-තිශහ පුත මහතිස-අයහ ලෙණ‌ෙ ශගිකෙ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමිණි තිස්සගේ පුත් වන මහාතිස්ස කුමරුගේ ලෙණ‌ සංඝයා සතු දේපළකි.
405,උපශක-තිශහ ච ඣය-රෙවය ච ලෙණ‌ෙ ශගශ,උපාසක තිස්සගේ සහ [ඔහුගේ] භාර්යාව වන රෙවාගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
406,(1) ගමිණි-තිශහ පිතහ ච මඣි-ම-රඣහ ච නියත-ගමනි ස-පරි[බො]ගනි ශගශ(2) ගිරිතිශගමෙ කරඣි[නි]-තිශගමෙ විලගමෙ කශබනගරෙ මලුගමෙ නොකපිකෙ (වම්පසට හැරුණු ස්වස්තිකය සමඟ සංකේත අංක 2 සහ සංකේත අංක 5a),"මඣි-ම-රජ සහ ගාමණී තිස්ස රජුගේ පියාණන් විසින් ග්‍රාමයන් සහ එහි වස්තුව සංඝයාට පරිත්‍යාග කරන ලදී. ගිරිතිස්ස නම් ග්‍රාමය, කරඣි[නි]තිස්ස නම් ග්‍රාමය, විලගම,කස්සපනගර,මලුගම සහ නොකපික."
407,[1] එක-උතිරික-බණක පුශදෙව-තෙරහ මනොරමෙ,එකොත්තරිකහි (අංගුත්තරාගම) දේශක ඵුස්සදේව තෙරණුවන්ගේ මනොරම [නම් ලෙන].
408,[2] මනොරමෙ (ලෙනෙහි නම),
409,[3] බත-නමලිය ලෙණ‌ෙ,ප්‍රධානි නමලිගේ ලෙණ‌.
410,[4] බත-තිශ-බුතිය ච බත-කුඩක-තිශහ ච,ප්‍රධානි තිස්සභූතිගේ ද ප්‍රධානි කුඩකතිස්සගේ ද [ලෙන].
411,[5] වරුණගුතහ ලෙණ‌ෙ ශගශ,වරුණගුත්තගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
412,[6] අශිය-අනුඩිය ලෙණ‌ෙ,අයුෂ්මන්ත අනුඩිගේ ලෙණ‌.
413,[7] ගපති-විහකහ ලෙණ‌ෙ,ගෘහපති විසාඛගේ ලෙණ‌.
414,[8] ශුමනහ ලෙණ‌ෙ,සුමනගේ ලෙණ‌.
415,[9] උපශික-කණය ලෙණ‌ෙ ශගශ,උපාසිකා කාණාගේ ලෙණ‌ සංඝයාට දෙන ලදී.
416,[10] පුත-පිතහ තිසරකිතහ ලෙණ‌ෙ ශගශ දිනෙ,තිස්සරක්ඛිත පුතණුවන්ගේ සහ පියාණන්ගේ ලෙණ‌ සංඝයාට දෙන ලදී.
417,[11] උපශික-ශමිදතය ලෙණ‌ෙ ශගශ,උපාසිකා සාමිදත්තාගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
418,[12] අශ-චිතගුතහ අශ-උපතිශහ,අයුෂ්මන්ත චිත්තගුත්තගේ [සහ] අයුෂ්මන්ත උපතිස්සගේ ලෙණ‌.
419,[13] ශගශ අශ-[ඣි]තහ ච මහගණක-වහලිය ච ලෙණ‌ෙ,සංඝයාට ප්‍රධානය කරන ලද ලෙණ‌ අයුෂ්මන්ත ජිතගේ සහ ප්‍රධාන ගණකාධිකාරී වහලිගේ වෙයි.
420,[14] උපශික-කණඩශිකය ලෙණ‌ෙ උපාසිකා ශගශ,උපාසිකා කණ්හදාසිකාගේ ලෙණ‌ සංඝයාට[දෙන ලදී].
421,[ග]පිති-නගුලිය ලෙණ‌ෙ,ගෘහපති නගුලිගේ ලෙණ‌.
422,[1] දෙවනපිය-මහරඣ ගමිණි-තිශහ පුත මහ-අයහ ඣය උපශික-යහශිනිය ලෙණ‌ෙ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී තිස්සගේ පුත් වන මහ-අයගේ භාර්යාව වන උපාසිකා යසස්සිනීගේ ලෙණ‌ෙ.
423,[2] දෙවනපිය-මහරඣහ ගමණි-තිශහ පුත මහ-අයහ මහ-ලෙණ‌ෙ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී තිස්සගේ පුත් වන මහ-අයගේ මහ ලෙණ‌.
424,[3] මහරඣහ දෙවනපියහ ගමණි-තිශහ පුතහ තිශ-අයහ මහ-ලෙණ‌ෙ,මහරජ වූ දෙවියන්ට ප්‍රිය වූ ගාමණී තිස්සගේ පුත් වන තිස්ස කුමරුගේ මහ ලෙණ‌.
425,[4] දෙවනපිය-මහරඣශ ගමණි-තිශශ පුත මහ[යශ ඣය උපශි]ක-බුතදතය ලෙණ‌ෙ අග[ත-අන]ග[ත-චතු]-දි[ශ]ශගශ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී තිස්සගේ පුත් වන මහයගේ භාර්යාව වන බුද්ධදත්තාගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
426,[5] දෙවනපිය-මහරඣහ ගමණි-තිශහ පුතහ තිශ-අයහ ඣය උපශික-ශමිකය ලෙණ‌ෙ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී තිස්සගේ පුත් වන තිස්ස කුමරුගේ භාර්යාව වන උපාසිකා සාමිකාගේ ලෙණ‌.
427,[6] දෙවනපිය-මහරඣහ ගාමණි-තිශහ පුත තිෂයහ ඣය අබිඣිතය ලෙණ‌ෙ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී තිස්සගේ පුත් වන තිස්ස කුමරුගේ භාර්යාව වන අභිජාතාගේ ලෙණ‌.
428,[7] (1) දෙවනපිය-මහරඣ ගමිණි-ති[සහ පුත](2) ලඣක-රඣහ [ඉ]ද ප[තිට]පිත සිතෙ ලෙණ‌ෙ පච-විශති,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී තිස්සගේ පුත් වන ලංජක රජු විසින් සිසිල් ලෙණ් විසි පහක් පිහිටුවන ලදී.
429,[8] (1) අබය-මහරඣහ අයක ගමික-අබයහ පුත ගමික-චෙමහ ලෙණ‌ෙ(2) සමතබද නම ලෙණ‌ෙ ශගශ දිනෙ,අභය මහරජුගේ ආදායම් පාලක ගම් ප්‍රධානි අභයගේ පුත් වන ගම් ප්‍රධානි චෙමගේ ලෙණ‌ - සමන්තභද්‍ර නම් ලෙණ‌ සංඝයාට දෙන ලදී.
430,[9] බත-තිශගුතහ ලෙණ‌ෙ ශිශමුකෙ,ප්‍රධානි තිස්සගුත්තගේ ශිහමුඛ (සිංහයාගේ මුඛය) [නම්] ලෙණ‌.
431,[10] ශිව-තෙරශ ලෙණ‌ෙ,සිව තෙරුණ්ගේ ලෙණ‌.
432,[11] උපශක-දතශ ලෙණ‌ෙ,උපාසක දත්තගේ ලෙණ‌.
433,[12] අශ-ගුතහ ලෙණ‌ෙ ශගශ,අයුෂ්මන්ත ගුත්තගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
434,[13] අශිය-පුශදෙවහ ලෙණ‌ෙ,අයුෂ්මන්ත ඵුස්සදේව ලෙණ‌.
435,[14] පරුමක-අගි-පුත පරුමක-තෙඣශ ලෙණ‌ෙ,ප්‍රමුඛ අග්ගිගේ පුත් වන ප්‍රමුඛ තෙජගේ ලෙණ‌.
436,[15] බත-දමගුතහ ලෙණ‌ෙ අගත-අනගත චතු-දිශ-ශගශ,ප්‍රමුඛ ධම්මගුත්තගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
437,[16] ද[ම]රුචි-(තෙරශ) ලෙණ‌ෙ,ධම්මරුචි තෙරුණ්ගේ ලෙණ‌.
438,[17] මෙහි පෙළ අංක 16 ලිපිය හා සමාන වෙයි. අක්ෂර පැහැදිලිව දැකගත හැක. තෙරශ වෙනුවට තෙරහ ලෙස දක්වා ඇත.,
439,[18] බත-සමුද[ගු]ත[ශ] ලෙණ‌ෙ ශගශ,ප්‍රධානි සමුද්දගුත්තගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
440,[19] බත-ද[ම]ගුතශ ලෙණ‌ෙ,ප්‍රධානි ධම්මගුත්තගේ ලෙණ‌.
441,[20] බත-ශොණශ ලෙණ‌ෙ,ප්‍රධානි සොණගේ ලෙණ‌.
442,[21] මිටියමත තිශහ ලෙණ‌ෙ,මිටියමත තිස්සගේ ලෙණ‌.
443,[22] බත-ශිවබුතිය ලෙණ‌ෙ ශුපදිතිතෙ,ප්‍රමුඛ සිවභූතිගේ සුප්පතිට්ඨිත [නම්] ලෙණ‌.
444,[23] [ච]න[-තිශ]-පවත-ව[ශි ක]-පුශ-තෙරහ ලෙණ‌ෙ,[ච]න-(තිස්ස)-පබ්බත වාසී ඵුස්ස තෙරුණ්ගේ ලෙණ‌.
445,[24] මෙහි පෙළ අංක [21] ලිපිය හා සමාන වෙයි; 'මත' වෙනුවට 'මුත' භාවිත කර ඇත. දකුණේ සිට වමට කියවිය යුතු වෙයි.,
446,[25] අශ-චිතගුතහ අශ-උපතිශහ,ආයුෂ්මන්ත චිත්තගුත්තගේ; අයුෂ්මන්ත උපතිස්සගේ
447,[26] තිශගුත-තෙරශ ලෙණ‌ෙ ශගශ,තිස්සගුත්ත තෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
448,[27] දමරකිත-තෙර-ශදිවිශරිය බත-ශ...........,ධම්මරක්ඛිත තෙරුණ්ගේ ශිෂ්‍ය ප්‍රධානි ස...........
449,[28] ශිව-තෙරශ ලෙණ‌ෙ,සිව තෙරුණ්ගේ ලෙණ‌.
450,[29] ශිව-තෙර............,සිව තෙරුණ්ගේ............
451,[30] නගශෙන-තෙරශ ශුදශනෙ,නාගසේන තෙරුණ්ගේ සුදස්සන [නම් ලෙන].
452,[31] (1) බත-තිශහ ලෙණ‌ෙ ශුදශනෙ(2) ශගශ,ප්‍රධානි තිස්සගේ සුදස්සන [නම්] ලෙණ‌ සංඝයාට [දෙන ලදී].
453,[32] උපශක-දතශ ලෙණ‌ෙ,උපාසක දත්තගේ ලෙණ‌.
454,[33] ශුරි-තෙරශ ලෙණ‌ෙ ශගශ,සුරිතෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
455,[34] බුදරකිත-තෙරශ ලෙණ‌ෙ බයබෙරවෙ,"බුද්ධරක්ඛිත තෙරුණ්ගේ ලෙණ‌, [නම්]බයභෙරව (අපූර්ව වූ)."
456,[35] (1) තිශබුති-තෙරශ ලෙණ‌ෙ(2) මනපදසනෙ,තිස්සභූති තෙරුණ්ගේ මනාපදස්සන [නම්] ලෙණ‌.
457,[36] නදික-තෙරහ ච බත-නමලිය ච ලෙණ‌ෙ ඉදශල-ගුශෙ,නන්දික තෙරුණ්ගේ සහ ප්‍රධානි නමලිගේ ඉන්දසාල-ගුහා නම් ලෙණ‌.
458,[37] නග-තෙරහ ලෙණ‌ෙ ඉදශල-ගොහ ..............,"නාග තෙරුණ්ගේ ලෙණ‌, ඉන්දසාල-ගුහා නම්............"
459,[38] (1) බත-නුගහ ලෙණ‌ෙ අග........(2) අගත-අනගත-චතු-දි[ශ]-ශගශ,"ප්‍රධානි නුගගේ අග.........නම් ලෙණ‌, පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී]."
460,[39] පරුමක-ගොදත-පුත ශුමහ ලෙණ‌ෙ,ප්‍රමුඛ ගොත්තගේ පුත් වන සුම්මගේ ලෙණ‌.
461,[40] තිශමිත-තෙරශ ලෙණ‌ෙ පුඩලඣකෙ,තිස්සමිත්ත තෙරුණ්ගේ පුඩලඣකෙ [නම්] ලෙණ‌.
462,[41] (1) පරුමක-පණි-තිශහ ලෙණ‌ෙ අගත-අ-(2) නගත-චතු-දිශ-ශගශ,ප්‍රමුඛ පණි-තිසගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
463,[42] (1) [තිශ]-මිත-තෙරශ ලෙණ‌ෙ(2) අගත-අනගත චතු-දිශ-ශගශ,තිස්සමිත්ත තෙරුණ්ගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
464,[43] තිශමිත-තෙරශ ලෙණ‌ෙ ශගශ,තිස්සමිත්ත තෙරුණ්ගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
465,[44] උපතිශහ ලෙණ‌ෙ,උපතිස්සගේ ලෙණ‌.
466,[45] දමරුචි-තෙරශ ලෙණ‌ෙ,ධම්මරුචි තෙරුණ්ගේ ලෙණ‌.
467,[46] මෙහි පෙළ ඉහත සෙල්ලිපිය හා සමාන වන නමුත් තෙරශ වෙනුවට තෙරහ භාවිත කර ඇත.,
468,"[47] (UCR,XX,160) යෙ ඉම දිප පටමය ඉදිය අගතන ඉඩික-[තෙර-ම]හිද-තෙරහ තුබෙ",මෙම ද්වීපයේ භාග්‍ය උදෙසා පැමිණි ඉඩික තෙරුණ්ගේ සහ මහින්ද තෙරුණ්ගේ ස්තූප වෙයි.
468a,[48] [ශි]ම-පහණ‌ෙ,සීමා ගල.
469,කුබිර-තෙරහ වනෙ,කුබිර (කුවෙර) තෙරුණ්ගේ වනාන්තරය.
470,බත-තිශගුතශ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ,ප්‍රධානි තිස්සගුත්තගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
471,[1] චිත-දෙවිය යක පරුමක-උති-පුත පරුමක-සුඣතශ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ,චිත්තදෙවීහි අදායම් පාලක ප්‍රමුඛ උතිගේ පුත් වන ප්‍රමුඛ සුජාතගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
472,[2] කරඣික-ගල-වහිකෙ බත-දිගතිහ ලෙණ‌ෙ (2) නියතෙ ශගශ,කරඣිකගල වාසී ප්‍රධානි දිගතිගේ ලෙණ‌ සංඝයාට පරිත්‍යාග කරන ලදී.
473,[1] දොදශ-ඣනන චදක-ලෙණ‌ෙ,පුද්ගලයින් දොළසකගේ චන්දක ලෙණ‌.
474,[2] පුශක-පුඩ(ශ)හ ලෙණ‌ෙ,උපාසක පුඩගේ ලෙණ‌.
475,බත-තිශ-ගුතහ ගමික-චුලහ උපශික-උපලය.............,"ප්‍රධානි තිස්සගුත්තගේ, ගම් ප්‍රධානි චලුගේ [සහ] උපාසිකා උප්පලාගේ,..........."
476,තිශදතහ ලෙණ‌ෙ බත-රෙවතහ ශගශ [දිනෙ],තිස්සදත්තගේ ලෙණ‌ ප්‍රධානි රෙවත විසින් සංඝයාට [දෙන ලදී].
